318,Zeke Nnaji,2379840,2379840
319,Aaron Holiday,2345640,2345640
320,Bryn Forbes,2337145,2337145
321,E'Twaun Moore,2331593,2331593
321,Markieff Morris,2331593,2331593
321,Reggie Jackson,2331593,2331593
324,Hassan Whiteside,2320044,2320044
324,Kent Bazemore,2320044,2320044
326,Ty Jerome,2303040,2303040
327,Mike Muscala,2283034,2283034
328,Anfernee Simons,2252040,2252040
329,Brad Wanamaker,2250000,2250000
329,Luke Kornet,2250000,2250000
332,Nassir Little,2210640,2210640
333,R.J. Hampton,2193480,2193480
334,Matthew Dellavedova,2174318,2174318
334,Solomon Hill,2174318,2174318
336,Edmond Sumner,2160000,2160000
338,Dylan Windler,2137440,2137440
339,Immanuel Quickley,2105520,2105520
341,Landry Shamet,2090040,2090040
342,Jordan Poole,2063280,2063280
343,Bol Bol,2058240,2058240
344,Keldon Johnson,2048040,2048040
345,Payton Pritchard,2035800,2035800
347,Langston Galloway,2028594,2028594
347,Bruno Caboclo,2028594,2028594
347,Tyler Johnson,2028594,2028594
350,Gary Clark,2018458,2018458
354,Theo Maledon,2000000,2000000
354,Kenrich Williams,2000000,2000000
354,Damyean Dotson,2000000,2000000
358,Quinn Cook,1981649,1981649
359,Cameron Payne,1977011,1977011
361,Udoka Azubuike,1977000,1977000
362,Jaden McDaniels,1964760,1964760
363,Malachi Flynn,1950600,1950600
364,Desmond Bane,1936440,1936440
365,Jontay Porter,1900000,1900000
366,Raul Neto,1882867,1882867
366,JaKarr Sampson,1882867,1882867
366,Jahlil Okafor,1882867,1882867
370,Marquese Chriss,1824003,1824003
370,David Nwaba,1824003,1824003
373,Georges Niang,1783557,1783557
374,Rodions Kurucs,1780152,1780152
375,Furkan Korkmaz,1762796,1762796
375,Alfonzo McKinnie,1762796,1762796
375,Damion Lee,1762796,1762796
379,Abdel Nader,1752950,1752950
379,Semi Ojeleye,1752950,1752950
381,DeAndre' Bembry,1737145,1737145
381,Frank Kaminsky,1737145,1737145
381,Willy Hernangomez,1737145,1737145
381,Thon Maker,1737145,1737145
385,Monte Morris,1723707,1723707
386,Kevin Porter Jr,1717981,1717981
387,Shake Milton,1701593,1701593
387,Thanasis Antetokounmpo,1701593,1701593
387,Brandon Goodwin,1701593,1701593
390,Ignas Brazdeikis,1686315,1686315
391,Torrey Craig,1678854,1678854
391,Dwayne Bacon,1678854,1678854
391,Sterling Brown,1678854,1678854
395,Isaac Bonga,1663861,1663861
395,Gary Trent Jr,1663861,1663861
395,Svi Mykhailiuk,1663861,1663861
395,Mitchell Robinson,1663861,1663861
395,Jarred Vanderbilt,1663861,1663861
395,Kendrick Nunn,1663861,1663861
395,Duncan Robinson,1663861,1663861
395,Hamidou Diallo,1663861,1663861
395,Jalen Brunson,1663861,1663861
395,Devonte' Graham,1663861,1663861
395,Bruce Brown,1663861,1663861
406,Drew Eubanks,1620564,1620564
406,Harry Giles,1620564,1620564
406,Wenyen Gabriel,1620564,1620564
406,Isaiah Hartenstein,1620564,1620564
411,Daniel Gafford,1517981,1517981
411,Matt Thomas,1517981,1517981
411,Juwan Morgan,1517981,1517981
411,Miye Oni,1517981,1517981
411,Chris Silva,1517981,1517981
411,Terence Davis,1517981,1517981
411,Justin James,1517981,1517981
411,Isaiah Roby,1517981,1517981
411,Luguentz Dort,1517981,1517981
411,Jaylen Nowell,1517981,1517981
411,Naz Reid,1517981,1517981
411,KZ Okpala,1517981,1517981
411,Talen Horton-Tucker,1517981,1517981
411,Terance Mann,1517981,1517981
411,Jalen Lecque,1517981,1517981
411,Mychal Mulder,1517981,1517981
