62,Dennis Schroder,PG,61,32.1,15.4,5.4,12.5,43.7,1.2,3.5,33.5,3.4,4,84.8,3.5,5.8,1.1,0.2,2.7,6,0,13.84
63,Robert Covington,PF,70,32,8.5,2.9,7.3,40.1,1.9,5.1,37.9,0.7,0.9,80.6,6.7,1.7,1.4,1.2,0.9,6,0,11.19
64,Dorian Finney-Smith,PF,60,32,9.8,3.7,7.8,47.2,2,5,39.4,0.5,0.7,75.6,5.4,1.7,0.9,0.4,0.8,1,0,12
66,Norman Powell,SF,69,32,18.6,6.3,13.3,47.7,2.5,6,41.1,3.4,3.9,87.1,3.1,1.9,1.2,0.3,1.7,0,0,16.29
67,Dejounte Murray,PG,67,31.9,15.7,6.6,14.5,45.3,0.9,3,31.7,1.6,2,79.1,7.1,5.4,1.5,0.1,1.7,13,4,16.52
68,Kemba Walker,PG,43,31.8,19.3,6.6,15.7,42,3,8.2,36,3.1,3.5,89.9,4,4.9,1.1,0.3,2,0,0,17.72
69,Lonzo Ball,PG,55,31.8,14.6,5.3,12.7,41.4,3.1,8.3,37.8,0.9,1.2,78.1,4.8,5.7,1.5,0.6,2.2,5,1,15.23
70,Caris LeVert,SG,47,31.6,20.2,7.6,17.3,44.1,1.8,5.5,32.6,3.1,3.8,81.1,4.6,5.2,1.4,0.6,2.2,6,0,17.85
71,Royce O'Neale,PF,71,31.5,7,2.5,5.5,44.4,1.5,3.9,38.5,0.5,0.6,84.8,6.8,2.5,0.8,0.5,1.2,3,0,9.88
72,Rui Hachimura,PF,57,31.5,13.8,5.4,11.4,47.8,0.8,2.4,32.8,2.2,2.8,77,5.5,1.4,0.8,0.1,1.2,3,0,11.45
73,Draymond Green,PF,63,31.5,7,2.7,6,44.7,0.5,2,27,1.1,1.4,79.5,7.1,8.9,1.7,0.8,3,17,6,13.33
74,Chris Paul,PG,70,31.4,16.4,6.3,12.6,49.9,1.5,3.7,39.5,2.4,2.6,93.4,4.5,8.9,1.4,0.3,2.2,25,1,21.42
75,Duncan Robinson,SG,72,31.4,13.1,4.4,10,43.9,3.5,8.5,40.8,0.9,1,82.7,3.5,1.8,0.6,0.3,1.1,1,0,11.1
76,Michael Porter Jr,SF,61,31.3,19,7.3,13.4,54.2,2.8,6.3,44.5,1.7,2.2,79.1,7.3,1.1,0.7,0.9,1.3,15,0,20.63
77,Coby White,PG,69,31.2,15.1,5.4,13.1,41.6,2.4,6.6,35.9,1.9,2.1,90.1,4.1,4.8,0.6,0.2,2.3,5,0,12.09
78,Larry Nance Jr,PF,35,31.2,9.3,3.7,7.8,47.1,1.2,3.3,36,0.9,1.4,61.2,6.7,3.1,1.7,0.5,1.6,5,0,13.22
79,Darius Bazley,PF,55,31.2,13.7,5,12.5,39.6,1.5,5.2,29,2.3,3.2,70.2,7.2,1.8,0.5,0.5,2.2,11,0,9.73
80,Joel Embiid,C,51,31.1,28.5,9,17.6,51.3,1.1,3,37.7,9.2,10.7,85.9,10.6,2.8,1,1.4,3.1,31,0,30.32
81,Gary Trent Jr,SG,58,31.1,15.3,5.5,13.5,40.8,2.8,7.4,38.5,1.4,1.8,78.3,2.6,1.4,1,0.2,0.7,0,0,12.15
82,Joe Harris,SF,69,31,14.1,5.2,10.2,50.5,3.1,6.4,47.5,0.7,0.9,77.8,3.6,1.9,0.7,0.2,0.9,0,0,14.12
83,Will Barton,SF,56,31,12.7,4.6,10.9,42.6,1.8,4.6,38.1,1.7,2.2,78.5,4,3.2,0.9,0.4,1.7,0,0,11.86
84,Myles Turner,C,47,31,12.6,4.4,9.2,47.7,1.5,4.4,33.5,2.4,3,78.2,6.5,1,0.9,3.4,1.4,7,0,15.36
85,Kristaps Porzingis,C,43,30.9,20.1,7.6,15.9,47.6,2.3,6,37.6,2.7,3.2,85.5,8.9,1.6,0.5,1.3,1.2,16,0,21.33
86,Kevin Huerter,SG,69,30.8,11.9,4.6,10.6,43.2,2,5.6,36.3,0.7,0.9,78.1,3.3,3.5,1.2,0.3,1.1,3,0,12.19
87,Rudy Gobert,C,71,30.8,14.3,5.5,8.2,67.5,0,0.1,0,3.3,5.3,62.3,13.5,1.3,0.6,2.7,1.7,49,0,23.54
88,Bojan Bogdanovic,SF,72,30.8,17,5.6,12.8,43.9,2.5,6.4,39,3.2,3.7,87.9,3.9,1.9,0.6,0.1,1.8,0,0,14.03
89,Kelly Oubre Jr,SG,55,30.7,15.4,5.8,13.2,43.9,1.6,5.2,31.6,2.2,3.2,69.5,6,1.3,1,0.8,1.3,6,0,13.37
90,Deandre Ayton,C,69,30.7,14.4,6.2,10,62.6,0.1,0.3,20,1.9,2.5,76.9,10.5,1.4,0.6,1.2,1.5,33,0,20.35
92,P.J. Washington,PF,64,30.5,12.9,4.7,10.7,44,1.8,4.5,38.6,1.7,2.3,74.5,6.5,2.5,1.1,1.2,2,10,0,13.42
93,Josh Richardson,SG,59,30.3,12.1,4.5,10.5,42.7,1.5,4.5,33,1.7,1.8,91.7,3.3,2.6,1,0.4,1.3,0,0,11.92
94,Justin Holiday,SF,72,30.3,10.5,3.6,8.7,41.3,2.4,6.3,38.2,0.9,1.2,78.8,3.6,1.7,1,0.6,0.8,0,0,10.47
95,Tyler Herro,PG,54,30.3,15.1,5.7,12.9,43.9,2,5.5,36,1.7,2.2,80.3,5,3.4,0.6,0.3,1.9,5,0,13.42
96,Devonte' Graham,PG,55,30.2,14.8,4.6,12.2,37.7,3.3,8.7,37.5,2.4,2.9,84.2,2.7,5.4,0.9,0.1,1.5,3,0,14.68
97,Clint Capela,C,63,30.1,15.2,6.6,11,59.4,0,0,0,2.1,3.6,57.3,14.3,0.8,0.7,2,1.2,48,1,24.36
98,Tyrese Haliburton,PG,58,30.1,13,5,10.7,47.2,2.1,5.1,40.9,0.8,1,85.7,3,5.3,1.3,0.5,1.6,5,0,16.19
99,Reggie Bullock,SF,65,30,10.9,3.8,8.6,44.2,2.5,6.1,41,0.8,0.8,90.9,3.4,1.5,0.8,0.2,0.7,0,0,11.18
100,Evan Fournier,SG,42,30,17.1,5.9,12.9,45.7,2.8,6.7,41.3,2.6,3.3,78.8,3,3.4,1.1,0.5,1.7,0,0,16.75
101,Dillon Brooks,SF,67,29.8,17.2,6.4,15.4,41.9,1.9,5.6,34.4,2.4,2.9,81.5,2.9,2.3,1.2,0.4,1.8,0,0,12.19
102,Eric Bledsoe,SG,71,29.7,12.2,4.3,10.3,42.1,1.7,5,34.1,1.9,2.7,68.7,3.4,3.8,0.8,0.3,1.6,4,0,11.58
103,Luguentz Dort,SF,52,29.7,14,4.8,12.3,38.7,2.2,6.3,34.3,2.3,3.2,74.4,3.6,1.7,0.9,0.4,1.5,0,0,10.19
104,Bogdan Bogdanovic,SG,44,29.7,16.4,6.1,12.8,47.3,3.3,7.6,43.8,0.9,1,90.9,3.6,3.3,1.1,0.3,1.2,0,0,17.63
105,Jarrett Allen,C,63,29.6,12.8,4.7,7.7,61.8,0.1,0.3,31.6,3.2,4.6,70.3,10,1.7,0.5,1.4,1.6,25,0,20.15
106,Derrick White,PG,36,29.6,15.4,5.2,12.6,41.1,2.3,6.8,34.6,2.7,3.2,85.1,3,3.5,0.7,1,1.3,0,0,15.01
107,De'Andre Hunter,SF,23,29.5,15,5.2,10.8,48.4,1.3,4.1,32.6,3.2,3.7,85.9,4.8,1.9,0.8,0.5,1.3,1,0,15.75
108,Kendrick Nunn,G,56,29.5,14.6,5.7,11.8,48.5,2.2,5.7,38.1,1,1.1,93.3,3.2,2.6,0.9,0.3,1.4,0,0,14.24
109,Mike Conley,PG,51,29.4,16.2,5.6,12.5,44.4,2.7,6.6,41.2,2.4,2.8,85.2,3.5,6,1.4,0.2,1.9,6,0,19.26
110,John Collins,PF,63,29.3,17.6,6.8,12.2,55.6,1.3,3.3,39.9,2.7,3.2,83.3,7.4,1.2,0.5,1,1.3,16,0,20.67
111,Miles Bridges,SF,66,29.3,12.7,4.7,9.4,50.3,1.8,4.4,40,1.5,1.7,86.7,6,2.2,0.7,0.8,1.6,11,0,14.72
112,Terrence Ross,SG,46,29.3,15.6,5.5,13.4,41.2,1.9,5.7,33.7,2.6,3,87,3.4,2.3,1,0.5,1.6,0,0,13.25
114,Eric Gordon,SG,27,29.2,17.8,5.9,13.6,43.3,2.6,7.8,32.9,3.5,4.2,82.5,2.1,2.6,0.5,0.5,1.9,0,0,14.46
115,Richaun Holmes,C,61,29.2,14.2,6,9.4,63.7,0,0.2,18.2,2.2,2.8,79.4,8.3,1.7,0.6,1.6,1.2,21,0,20.24
116,Jae'Sean Tate,SF,70,29.2,11.3,4.5,8.9,50.6,0.9,2.8,30.8,1.5,2.1,69.4,5.3,2.5,1.2,0.5,1.4,3,0,13.83
117,Cam Reddish,SF,26,28.8,11.2,3.7,10.1,36.5,1.3,4.8,26.2,2.6,3.2,81.7,4,1.3,1.3,0.3,1.3,0,0,9.36
118,LaMelo Ball,PG,51,28.8,15.7,5.7,13.2,43.6,1.8,5.1,35.2,2.5,3.2,75.8,5.9,6.1,1.6,0.4,2.8,7,1,17.61
119,Seth Curry,SG,57,28.7,12.5,4.5,9.7,46.7,2.2,4.9,45,1.2,1.4,89.6,2.4,2.7,0.8,0.1,1.1,0,0,12.91
120,Kyle Kuzma,SF,68,28.7,12.9,4.9,11.1,44.3,2,5.6,36.1,1,1.4,69.1,6.1,1.9,0.5,0.6,1.7,13,0,12.8
121,Josh Hart,SG,47,28.7,9.2,3.2,7.3,43.9,1.3,4.1,32.6,1.5,1.9,77.5,8,2.3,0.8,0.3,1,7,0,12.18
122,Kelly Olynyk,PF,70,28.5,13.5,4.8,10,48.3,1.8,5.3,34.2,2.1,2.5,82.9,7,2.9,1.1,0.6,1.8,12,0,16.41
123,Keldon Johnson,SF,69,28.5,12.8,4.9,10.2,47.9,0.9,2.6,33.1,2.1,2.8,74,6,1.8,0.6,0.3,1.1,8,0,13.86
124,D'Angelo Russell,PG,42,28.5,19,6.7,15.5,43.1,2.9,7.4,38.7,2.7,3.5,76.5,2.6,5.8,1.1,0.4,2.7,6,0,17.63
125,Kentavious Caldwell-Pope,SG,67,28.4,9.7,3.3,7.6,43.1,1.8,4.4,41,1.4,1.7,86.6,2.7,1.9,0.9,0.4,1,1,0,10.74
126,Tim Hardaway Jr,SF,70,28.4,16.6,5.8,13,44.7,3,7.6,39.1,2,2.5,81.6,3.3,1.8,0.4,0.2,0.9,0,0,15.73
127,Jonas Valanciunas,C,62,28.3,17.1,7.1,12,59.2,0.3,0.9,36.8,2.5,3.3,77.3,12.5,1.8,0.6,0.9,1.6,49,0,24.47
128,Trevor Ariza,SF,30,28,9.4,3.3,8,41.1,1.7,4.8,35,1.1,1.5,77.3,4.8,1.8,1,0.6,0.7,1,0,11.9
129,Danny Green,SF,69,28,9.5,3.2,7.9,41.2,2.5,6.3,40.5,0.4,0.6,77.5,3.8,1.7,1.3,0.8,1,1,0,12.14
130,Patrick Williams,PF,71,27.9,9.2,3.6,7.4,48.3,0.8,1.9,39.1,1.3,1.8,72.8,4.6,1.4,0.9,0.6,1.4,3,0,10.53
131,Al Horford,C,28,27.9,14.2,5.8,12.9,45,2,5.4,36.8,0.6,0.8,81.8,6.7,3.4,0.9,0.9,1,1,0,17.48
132,Joe Ingles,SG,67,27.9,12.1,4.1,8.4,48.9,2.7,6.1,45.1,1.1,1.3,84.4,3.6,4.7,0.7,0.2,1.7,2,0,15.92
133,Delon Wright,SG,63,27.7,10.2,3.8,8.2,46.3,1,2.7,37.2,1.6,2,80.2,4.3,4.4,1.6,0.5,1.3,3,0,16.29
134,Gary Harris,SG,39,27.7,9.9,3.5,8.8,40,1.2,3.6,34,1.6,2,82.1,2,2,0.7,0.3,0.9,0,0,9.18
135,Aaron Gordon,PF,50,27.7,12.4,4.6,10,46.3,1.2,3.5,33.5,1.9,3,65.1,5.7,3.2,0.7,0.7,1.9,3,1,14.59
136,Steven Adams,C,58,27.7,7.6,3.3,5.3,61.4,0,0.1,0,1,2.3,44.4,8.9,1.9,0.9,0.7,1.3,13,1,15.15
137,Mitchell Robinson,C,31,27.5,8.3,3.7,5.7,65.3,0,0,0,0.8,1.7,49.1,8.1,0.5,1.1,1.5,0.8,5,0,17.7
138,Donte DiVincenzo,SG,66,27.5,10.4,3.8,9.1,42,2,5.2,37.9,0.8,1.1,71.8,5.8,3.1,1.1,0.2,1.4,5,0,12.99
139,Jae Crowder,PF,60,27.5,10.1,3.3,8.2,40.4,2.5,6.3,38.9,1,1.3,76,4.7,2.1,0.8,0.5,0.9,0,0,11.88
140,Nicolas Batum,PF,67,27.4,8.1,2.9,6.1,46.4,1.6,4.1,40.4,0.7,0.9,82.8,4.7,2.2,1,0.6,0.8,1,0,12.89
141,Theo Maledon,PG,65,27.4,10.1,3.5,9.4,36.8,1.6,4.8,33.5,1.6,2.1,74.8,3.2,3.5,0.9,0.2,2.2,1,0,8.19
142,Kyle Anderson,SF,69,27.3,12.4,4.5,9.5,46.8,1.4,3.8,36,2.1,2.7,78.3,5.7,3.6,1.2,0.8,1.2,3,0,17.27
143,Garrett Temple,SF,56,27.3,7.6,2.8,6.8,41.5,1.2,3.6,33.5,0.7,0.9,80,2.9,2.2,0.8,0.5,1,0,0,8.28
144,Saddiq Bey,SF,70,27.3,12.2,4,9.9,40.4,2.5,6.6,38,1.8,2.1,84.4,4.5,1.4,0.7,0.2,0.9,3,0,12.64
145,Brook Lopez,C,70,27.2,12.3,4.6,9.1,50.3,1.4,4,33.8,1.7,2,84.5,5,0.7,0.6,1.5,0.9,3,0,15.46
147,Cole Anthony,PG,47,27.1,12.9,4.7,11.7,39.7,1.2,3.7,33.7,2.3,2.8,83.2,4.7,4.1,0.6,0.4,2.3,0,0,12.16
148,Andre Drummond,C,46,27,14.9,6.1,12.4,49.3,0,0.2,0,2.7,4.5,60,12,2,1.4,1.1,2.7,28,0,19.46
