125,Doug McDermott,IND,66.00,24.50,1.37,-1.03,0.34,3.90
126,Jae'Sean Tate,HOU,70.00,29.20,-1.31,1.65,0.34,4.55
128,Jarrett Allen,CLE,63.00,29.60,-0.90,1.21,0.32,4.06
129,Davis Bertans,WAS,57.00,25.70,2.14,-1.82,0.32,3.64
130,Eric Bledsoe,NOP,71.00,29.70,-0.86,1.14,0.29,4.29
131,Serge Ibaka,LAC,41.00,23.30,-0.98,1.26,0.29,1.93
132,Jakob Poeltl,SAS,69.00,26.70,-1.64,1.92,0.28,4.02
133,Kyle Kuzma,LAL,68.00,28.70,0.07,0.18,0.24,4.44
134,Justin Holiday,IND,72.00,30.30,-1.06,1.29,0.23,4.71
135,Cameron Johnson,PHX,60.00,24.00,0.67,-0.46,0.21,3.28
136,Max Strus,MIA,39.00,13.00,1.65,-1.48,0.17,1.23
137,Tim Hardaway Jr,DAL,70.00,28.40,1.49,-1.33,0.16,4.35
138,Daniel Theis,CHI,65.00,24.60,-1.08,1.21,0.13,3.37
139,Cameron Payne,PHX,60.00,18.00,2.23,-2.10,0.13,2.56
140,Collin Sexton,CLE,60.00,35.30,-0.61,0.69,0.08,3.98
141,John Wall,HOU,40.00,32.20,0.21,-0.13,0.08,2.46
142,Jusuf Nurkic,POR,37.00,23.80,-1.34,1.38,0.04,1.53
143,Ersan Ilyasova,UTA,17.00,8.70,1.14,-1.10,0.04,0.34
144,Jordan Clarkson,UTA,68.00,26.70,2.89,-2.85,0.04,4.19
145,Isaiah Joe,PHI,41.00,9.30,0.99,-0.97,0.03,0.83
146,Trevor Ariza,MIA,30.00,28.00,-0.61,0.63,0.02,1.58
147,Kevin Love,CLE,25.00,24.90,0.79,-0.78,0.01,1.13
148,Daniel Gafford,WAS,54.00,14.60,0.63,-0.64,-0.01,1.74
149,Monte Morris,DEN,47.00,25.40,0.31,-0.33,-0.01,2.39
150,Keldon Johnson,SAS,69.00,28.50,-1.25,1.22,-0.03,3.49
151,Will Barton,DEN,56.00,31.00,-1.79,1.71,-0.08,2.96
152,Miles Bridges,CHA,66.00,29.30,0.92,-1.04,-0.12,3.82
153,Lauri Markkanen,CHI,51.00,25.80,0.61,-0.74,-0.12,2.52
154,Robert Covington,POR,70.00,32.00,-3.26,3.12,-0.14,3.53
155,Oshae Brissett,IND,21.00,24.70,0.16,-0.30,-0.14,0.82
156,Rudy Gay,SAS,63.00,21.60,0.51,-0.65,-0.15,2.82
157,Furkan Korkmaz,PHI,55.00,19.30,1.49,-1.64,-0.15,2.14
158,Gary Trent Jr,TOR,58.00,31.10,-1.28,1.13,-0.15,2.88
159,Darius Miller,OKC,18.00,10.90,1.28,-1.45,-0.16,0.36
160,Rodney McGruder,DET,16.00,12.10,0.97,-1.14,-0.17,0.40
161,Carsen Edwards,BOS,31.00,8.90,1.16,-1.40,-0.25,0.50
162,Bryn Forbes,MIL,70.00,19.30,1.98,-2.28,-0.30,2.62
163,Langston Galloway,PHX,40.00,11.00,0.61,-0.92,-0.30,0.78
164,Desmond Bane,MEM,68.00,22.30,0.59,-0.89,-0.30,2.65
165,Kyle Guy,SAC,31.00,7.60,0.91,-1.25,-0.35,0.42
166,Alize Johnson,BKN,18.00,10.50,0.25,-0.60,-0.35,0.36
167,Tyler Johnson,BKN,39.00,17.50,0.86,-1.21,-0.36,1.18
168,Jarrell Brantley,UTA,28.00,4.90,1.32,-1.68,-0.36,0.26
169,David Nwaba,HOU,30.00,22.60,0.23,-0.61,-0.38,1.22
171,Donta Hall,ORL,13.00,13.80,-0.55,0.17,-0.39,0.26
172,Frank Jackson,DET,40.00,18.50,1.23,-1.64,-0.41,1.30
173,Jarred Vanderbilt,MIN,64.00,17.80,-1.11,0.70,-0.41,1.79
174,Justin Robinson,OKC,9.00,9.80,0.43,-0.90,-0.47,0.13
175,Goran Dragic,MIA,50.00,26.70,1.50,-1.99,-0.49,2.11
176,Jaxson Hayes,NOP,60.00,16.10,0.45,-0.94,-0.50,1.57
177,Juan Toscano-Anderson,GSW,53.00,20.90,-0.30,-0.20,-0.50,1.64
178,Brandon Clarke,MEM,59.00,24.00,-0.20,-0.32,-0.52,2.24
179,Immanuel Quickley,NYK,64.00,19.40,1.65,-2.18,-0.53,1.94
181,PJ Dozier,DEN,50.00,21.80,-0.82,0.29,-0.54,1.63
182,Jevon Carter,PHX,60.00,12.00,1.04,-1.59,-0.54,1.15
183,Jeff Green,BKN,68.00,27.00,-0.63,0.07,-0.56,2.47
184,Garrett Temple,CHI,56.00,27.30,-1.03,0.44,-0.59,2.18
185,Landry Shamet,BKN,61.00,23.00,1.30,-1.89,-0.59,1.98
186,Darius Bazley,OKC,55.00,31.20,-2.22,1.62,-0.60,2.20
187,Cody Zeller,CHA,48.00,20.90,0.49,-1.10,-0.61,1.47
188,Ben McLemore,LAL,53.00,17.10,1.26,-1.87,-0.61,1.45
189,Markieff Morris,LAL,61.00,19.70,-0.78,0.16,-0.63,1.74
190,Patrick Patterson,LAC,38.00,15.30,-0.33,-0.30,-0.63,0.75
191,Bruce Brown,BKN,65.00,22.30,-1.01,0.38,-0.63,1.79
192,Marvin Bagley,SAC,43.00,25.90,-1.00,0.36,-0.64,1.33
193,Facundo Campazzo,DEN,65.00,21.90,-0.42,-0.23,-0.65,1.89
194,Damion Lee,GSW,57.00,18.90,0.67,-1.34,-0.67,1.61
195,Maxi Kleber,DAL,50.00,26.80,-2.02,1.34,-0.69,1.67
196,Paul Watson,TOR,27.00,11.00,0.65,-1.34,-0.69,0.44
